コード	銘柄名	株数	取得単価	現在値	損益	PER	PBR	ROE	配当利回り	自己資本比率	営業利益率	業種	直近材料	情報源
7611	ハイデイ日高	未保有	対象外	2533	対象外	20.27	3.67	18.09	2.05	72.75	10.58	小売業	📈【A】 月次、ROE18.09・財務強い。 【ファンダメンタル確認値】現在値2533、PER20.27、PBR3.67、ROE18.09、配当利回り2.05、自己資本比率72.75、営業利益率10.58 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
7616	コロワイド	未保有	対象外	1802	対象外	71.75	2.27	3.17	0.28	24.00	3.13	小売業	📉【D】 優待人気を除く投資指標弱い。 【ファンダメンタル確認値】現在値1802、PER71.75、PBR2.27、ROE3.17、配当利回り0.28、自己資本比率24.00、営業利益率3.13 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
7692	アースインフィニティ	未保有	対象外	73	対象外	14.64	6.42	43.85	3.56	42.45	10.24	小売業	📈【B】 ROE高いがPBR高・小型ボラあり。 【ファンダメンタル確認値】現在値73、PER14.64、PBR6.42、ROE43.85、配当利回り3.56、自己資本比率42.45、営業利益率10.24 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
7734	理研計器	未保有	対象外	3615	対象外	17.12	1.92	11.24	1.66	84.49	22.50	精密機器	📈【A】 中計・増配、財務厚い。 【ファンダメンタル確認値】現在値3615、PER17.12、PBR1.92、ROE11.24、配当利回り1.66、自己資本比率84.49、営業利益率22.50 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
7739	キヤノン電子	未保有	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	電気機器	➖【C】 上場廃止済み。 【ファンダメンタル確認値】現在値対象外、PER対象外、PBR対象外、ROE対象外、配当利回り対象外、自己資本比率対象外、営業利益率対象外 【扱い】現行の通常上場株としての比較対象外 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
7751	キヤノン	未保有	対象外	4258	対象外	11.11	1.08	9.70	3.76	55.04	9.85	電気機器	📈【A】 自己株式取得。 【ファンダメンタル確認値】現在値4258、PER11.11、PBR1.08、ROE9.70、配当利回り3.76、自己資本比率55.04、営業利益率9.85 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
7752	リコー	未保有	対象外	1438	対象外	13.20	0.71	5.36	3.06	45.51	3.48	電気機器	📈【A】 自己株式取得・消却。 【ファンダメンタル確認値】現在値1438、PER13.20、PBR0.71、ROE5.36、配当利回り3.06、自己資本比率45.51、営業利益率3.48 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
7762	シチズン時計	未保有	対象外	2511	対象外	22.28	2.09	9.38	1.99	62.61	8.72	精密機器	📈【B】 PBR2.09で割安感は薄い。 【ファンダメンタル確認値】現在値2511、PER22.28、PBR2.09、ROE9.38、配当利回り1.99、自己資本比率62.61、営業利益率8.72 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
7781	平山ホールディングス	未保有	対象外	1560	対象外	13.54	2.14	15.81	3.59	43.50	3.55	精密機器	📈【A】 M&A材料、配当修正。 【ファンダメンタル確認値】現在値1560、PER13.54、PBR2.14、ROE15.81、配当利回り3.59、自己資本比率43.50、営業利益率3.55 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
7846	パイロットコーポレーション	未保有	対象外	5150	対象外	12.90	1.32	10.22	1.63	79.22	13.17	その他製品	📈【B】 自社株式取得・消却履歴。 【ファンダメンタル確認値】現在値5150、PER12.90、PBR1.32、ROE10.22、配当利回り1.63、自己資本比率79.22、営業利益率13.17 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
7911	凸版印刷	未保有	対象外	4515	対象外	23.14	0.95	4.11	1.28	52.27	3.91	その他製品	📈【B】 TOPPAN HD。PBR0.95・自社株買い。 【ファンダメンタル確認値】現在値4515、PER23.14、PBR0.95、ROE4.11、配当利回り1.28、自己資本比率52.27、営業利益率3.91 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
7936	アシックス	未保有	対象外	4456	対象外	28.72	9.99	34.80	0.85	49.38	17.57	その他製品	📈【A】 ROE34.80、ブランド成長。 【ファンダメンタル確認値】現在値4456、PER28.72、PBR9.99、ROE34.80、配当利回り0.85、自己資本比率49.38、営業利益率17.57 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
7984	コクヨ	未保有	対象外	835	対象外	17.70	1.40	7.89	2.93	73.09	7.29	その他製品	📈【A】 優待変更・自社株式取得状況。 【ファンダメンタル確認値】現在値835、PER17.70、PBR1.40、ROE7.89、配当利回り2.93、自己資本比率73.09、営業利益率7.29 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
8002	丸紅	未保有	対象外	4692	対象外	13.25	1.76	13.29	2.45	41.43	対象外	卸売業	📈【A】 自己株式取得終了。商社の営業利益率は対象外。 【ファンダメンタル確認値】現在値4692、PER13.25、PBR1.76、ROE13.29、配当利回り2.45、自己資本比率41.43、営業利益率対象外 【扱い】総合商社のため営業利益率は単純比較対象外 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
8022	美津濃	未保有	対象外	3480	対象外	13.93	1.53	10.96	1.90	68.94	8.73	その他製品	📈【A】 ROE・財務良好。 【ファンダメンタル確認値】現在値3480、PER13.93、PBR1.53、ROE10.96、配当利回り1.90、自己資本比率68.94、営業利益率8.73 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
8028	ファミリーマート	未保有	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	小売業	➖【C】 上場廃止済み。 【ファンダメンタル確認値】現在値対象外、PER対象外、PBR対象外、ROE対象外、配当利回り対象外、自己資本比率対象外、営業利益率対象外 【扱い】現行の通常上場株としての比較対象外 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
8031	三井物産	未保有	対象外	4508	対象外	13.89	1.46	10.49	3.11	42.11	対象外	卸売業	📈【A】 総合商社。営業利益率は対象外。 【ファンダメンタル確認値】現在値4508、PER13.89、PBR1.46、ROE10.49、配当利回り3.11、自己資本比率42.11、営業利益率対象外 【扱い】総合商社のため営業利益率は単純比較対象外 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
8053	住友商事	未保有	対象外	6201	対象外	11.74	1.60	13.61	0.65	33.94	対象外	卸売業	📈【B】 自社株取得、ニッケル損失材料。 【ファンダメンタル確認値】現在値6201、PER11.74、PBR1.60、ROE13.61、配当利回り0.65、自己資本比率33.94、営業利益率対象外 【扱い】総合商社のため営業利益率は単純比較対象外 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
8058	三菱商事	未保有	対象外	4403	対象外	14.66	1.71	11.65	2.84	39.09	対象外	卸売業	📈【A】 総合商社。営業利益率は対象外。 【ファンダメンタル確認値】現在値4403、PER14.66、PBR1.71、ROE11.65、配当利回り2.84、自己資本比率39.09、営業利益率対象外 【扱い】総合商社のため営業利益率は単純比較対象外 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
8105	堀田丸正	未保有	対象外	153	対象外	赤字	2.47	赤字	0.00	86.23	-15.61	卸売業	📉【D】 Bitcoin Japan。赤字・希薄化/転換リスク。 【ファンダメンタル確認値】現在値153、PER赤字、PBR2.47、ROE赤字、配当利回り0.00、自己資本比率86.23、営業利益率-15.61 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
8114	デサント	未保有	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	繊維製品	➖【C】 上場廃止済み。 【ファンダメンタル確認値】現在値対象外、PER対象外、PBR対象外、ROE対象外、配当利回り対象外、自己資本比率対象外、営業利益率対象外 【扱い】現行の通常上場株としての比較対象外 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
8136	サンリオ	未保有	対象外	1092	対象外	20.75	8.50	40.95	1.47	66.38	40.12	卸売業	📈【A】 ROE40.95と高収益。 【ファンダメンタル確認値】現在値1092、PER20.75、PBR8.50、ROE40.95、配当利回り1.47、自己資本比率66.38、営業利益率40.12 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
8214	ＡＯＫＩホールディングス	未保有	対象外	1630	対象外	13.72	0.95	6.90	5.52	64.27	8.71	小売業	📈【A】 高配当・PBR1倍割れ。 【ファンダメンタル確認値】現在値1630、PER13.72、PBR0.95、ROE6.90、配当利回り5.52、自己資本比率64.27、営業利益率8.71 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
8227	しまむら	未保有	対象外	3225	対象外	14.15	1.37	9.69	2.48	88.08	8.78	小売業	📈【B】 決算待ち、安定感あり。 【ファンダメンタル確認値】現在値3225、PER14.15、PBR1.37、ROE9.69、配当利回り2.48、自己資本比率88.08、営業利益率8.78 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
8279	ヤオコー	未保有	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	小売業	➖【C】 現行上場主体・コード確認が必要。 【ファンダメンタル確認値】現在値対象外、PER対象外、PBR対象外、ROE対象外、配当利回り対象外、自己資本比率対象外、営業利益率対象外 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
8316	三井住友フィナンシャルグループ	未保有	対象外	6391	対象外	14.35	1.55	10.77	2.82	5.03	対象外	銀行業	📈【A】 自社株買い進捗。銀行業の営業利益率は対象外。 【ファンダメンタル確認値】現在値6391、PER14.35、PBR1.55、ROE10.77、配当利回り2.82、自己資本比率5.03、営業利益率対象外 【扱い】銀行業のため営業利益率は単純比較対象外 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
8411	みずほフィナンシャルグループ	未保有	対象外	7794	対象外	14.62	1.68	11.49	1.92	3.74	対象外	銀行業	📈【A】 自社株買い進捗。銀行業の営業利益率は対象外。 【ファンダメンタル確認値】現在値7794、PER14.62、PBR1.68、ROE11.49、配当利回り1.92、自己資本比率3.74、営業利益率対象外 【扱い】銀行業のため営業利益率は単純比較対象外 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
8566	リコーリース	未保有	対象外	6050	対象外	15.67	0.77	4.92	4.23	16.49	対象外	その他金融業	📈【B】 高配当・PBR1倍割れだがROE低め。 【ファンダメンタル確認値】現在値6050、PER15.67、PBR0.77、ROE4.92、配当利回り4.23、自己資本比率16.49、営業利益率対象外 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
8801	三井不動産	未保有	対象外	1480	対象外	14.11	1.23	8.70	2.50	32.44	14.68	不動産業	📈【B】 総合デベロッパー、安定感あり。 【ファンダメンタル確認値】現在値1480、PER14.11、PBR1.23、ROE8.70、配当利回り2.50、自己資本比率32.44、営業利益率14.68 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
8876	リログループ	未保有	対象外	1887	対象外	13.97	3.41	24.44	2.60	26.08	20.40	サービス業	📈【A】 ROE24.44・営業利益率20.40。 【ファンダメンタル確認値】現在値1887、PER13.97、PBR3.41、ROE24.44、配当利回り2.60、自己資本比率26.08、営業利益率20.40 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
8999	グランディハウス	未保有	対象外	505	対象外	13.31	0.58	4.37	6.34	36.51	3.57	不動産業	📈【B】 高配当・低PBRだがROE低い。 【ファンダメンタル確認値】現在値505、PER13.31、PBR0.58、ROE4.37、配当利回り6.34、自己資本比率36.51、営業利益率3.57 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
9006	京浜急行電鉄	未保有	対象外	1447	対象外	12.94	1.00	7.73	3.18	34.40	12.13	陸運業	📈【B】 配当3.18、鉄道・不動産回復期待。 【ファンダメンタル確認値】現在値1447、PER12.94、PBR1.00、ROE7.73、配当利回り3.18、自己資本比率34.40、営業利益率12.13 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
9020	東日本旅客鉄道	未保有	対象外	3386	対象外	14.99	1.25	8.37	2.48	28.16	13.43	陸運業	📈【B】 旅客需要回復と不動産収益。 【ファンダメンタル確認値】現在値3386、PER14.99、PBR1.25、ROE8.37、配当利回り2.48、自己資本比率28.16、営業利益率13.43 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
9058	トランコム	未保有	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	陸運業	➖【C】 上場廃止済み。 【ファンダメンタル確認値】現在値対象外、PER対象外、PBR対象外、ROE対象外、配当利回り対象外、自己資本比率対象外、営業利益率対象外 【扱い】現行の通常上場株としての比較対象外 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
9086	日立物流	未保有	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	陸運業	➖【C】 上場廃止済み。 【ファンダメンタル確認値】現在値対象外、PER対象外、PBR対象外、ROE対象外、配当利回り対象外、自己資本比率対象外、営業利益率対象外 【扱い】現行の通常上場株としての比較対象外 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
9101	日本郵船	未保有	対象外	5265	対象外	10.95	0.69	6.35	3.80	59.06	7.32	海運業	📈【B】 PBR1倍割れ・配当3.80、海運市況リスク。 【ファンダメンタル確認値】現在値5265、PER10.95、PBR0.69、ROE6.35、配当利回り3.80、自己資本比率59.06、営業利益率7.32 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
9201	日本航空	未保有	対象外	2846	対象外	11.12	0.95	8.53	3.37	40.32	10.30	空運業	📈【B】 航空需要回復、燃油・為替リスク。 【ファンダメンタル確認値】現在値2846、PER11.12、PBR0.95、ROE8.53、配当利回り3.37、自己資本比率40.32、営業利益率10.30 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
9202	ＡＮＡホールディングス	未保有	対象外	3000	対象外	14.18	0.91	6.43	2.00	37.72	8.56	空運業	📈【B】 自社株買い進捗。 【ファンダメンタル確認値】現在値3000、PER14.18、PBR0.91、ROE6.43、配当利回り2.00、自己資本比率37.72、営業利益率8.56 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
9412	スカパーＪＳＡＴホールディングス	未保有	対象外	2485	対象外	26.09	2.32	8.89	1.93	74.44	27.65	情報・通信業	📈【B】 衛星通信テーマだがPER高め。 【ファンダメンタル確認値】現在値2485、PER26.09、PBR2.32、ROE8.89、配当利回り1.93、自己資本比率74.44、営業利益率27.65 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
9417	スマートバリュー	未保有	対象外	333	対象外	赤字	2.35	赤字	3.00	6.24	4.40	情報・通信業	📉【D】 赤字・自己資本比率低い。 【ファンダメンタル確認値】現在値333、PER赤字、PBR2.35、ROE赤字、配当利回り3.00、自己資本比率6.24、営業利益率4.40 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
9432	日本電信電話	未保有	対象外	144	対象外	11.96	1.21	10.07	3.75	20.82	11.84	情報・通信業	📈【A】 26/3期営業利益率11.84、高配当大型通信株。 【ファンダメンタル確認値】現在値144、PER11.96、PBR1.21、ROE10.07、配当利回り3.75、自己資本比率20.82、営業利益率11.84 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
9433	ＫＤＤＩ	未保有	対象外	2681	対象外	14.43	2.01	13.93	3.13	26.63	18.10	情報・通信業	📈【A】 自社株買い材料、内部統制不備はリスク。 【ファンダメンタル確認値】現在値2681、PER14.43、PBR2.01、ROE13.93、配当利回り3.13、自己資本比率26.63、営業利益率18.10 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
9434	ソフトバンク	未保有	対象外	205	対象外	17.49	3.31	18.93	4.29	15.99	14.81	情報・通信業	📈【A】 営業利益率14.81、ROE18.93、高配当。 【ファンダメンタル確認値】現在値205、PER17.49、PBR3.31、ROE18.93、配当利回り4.29、自己資本比率15.99、営業利益率14.81 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
9437	ＮＴＴドコモ	未保有	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	情報・通信業	➖【C】 上場廃止済み、NTT傘下非上場。 【ファンダメンタル確認値】現在値対象外、PER対象外、PBR対象外、ROE対象外、配当利回り対象外、自己資本比率対象外、営業利益率対象外 【扱い】現行の通常上場株としての比較対象外 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
9672	東京都競馬	未保有	対象外	4875	対象外	11.76	1.34	11.36	2.99	78.07	36.91	サービス業	📈【A】 収益性・財務安全性良好。 【ファンダメンタル確認値】現在値4875、PER11.76、PBR1.34、ROE11.36、配当利回り2.99、自己資本比率78.07、営業利益率36.91 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
9735	セコム	未保有	対象外	6398	対象外	24.46	1.97	8.05	1.88	58.95	12.76	サービス業	📈【B】 安定収益、営業利益率12.76。 【ファンダメンタル確認値】現在値6398、PER24.46、PBR1.97、ROE8.05、配当利回り1.88、自己資本比率58.95、営業利益率12.76 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
9765	オオバ	未保有	対象外	1096	対象外	12.43	1.32	10.59	4.01	57.27	11.76	サービス業	📈【A】 高配当・ROE10%台。 【ファンダメンタル確認値】現在値1096、PER12.43、PBR1.32、ROE10.59、配当利回り4.01、自己資本比率57.27、営業利益率11.76 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
9783	ベネッセホールディングス	未保有	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	サービス業	➖【C】 非上場化済み。 【ファンダメンタル確認値】現在値対象外、PER対象外、PBR対象外、ROE対象外、配当利回り対象外、自己資本比率対象外、営業利益率対象外 【扱い】現行の通常上場株としての比較対象外 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
9843	ニトリホールディングス	未保有	対象外	2440	対象外	15.15	1.39	9.21	1.31	62.91	13.76	小売業	📈【B】 財務安定、還元控えめ。 【ファンダメンタル確認値】現在値2440、PER15.15、PBR1.39、ROE9.21、配当利回り1.31、自己資本比率62.91、営業利益率13.76 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
9887	松屋フーズホールディングス	未保有	対象外	4630	対象外	25.09	1.65	6.59	0.56	40.96	4.12	小売業	📉【D】 減損損失・低利回り。 【ファンダメンタル確認値】現在値4630、PER25.09、PBR1.65、ROE6.59、配当利回り0.56、自己資本比率40.96、営業利益率4.12 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
9936	王将フードサービス	未保有	対象外	2808	対象外	20.79	2.27	10.91	1.99	76.47	8.91	小売業	📈【B】 外食需要期待、割安感薄い。 【ファンダメンタル確認値】現在値2808、PER20.79、PBR2.27、ROE10.91、配当利回り1.99、自己資本比率76.47、営業利益率8.91 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
9974	ベルク	未保有	対象外	6370	対象外	10.46	1.10	10.58	2.07	54.47	4.23	小売業	📈【A】 食品スーパーとして収益性・財務バランス良好。 【ファンダメンタル確認値】現在値6370、PER10.46、PBR1.10、ROE10.58、配当利回り2.07、自己資本比率54.47、営業利益率4.23 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
9980	ＭＲＫホールディングス	未保有	対象外	91	対象外	6.76	0.57	8.49	1.10	77.71	2.73	小売業	📈【B】 26/3期営業利益+46.79、純利益+265.91。 【ファンダメンタル確認値】現在値91、PER6.76、PBR0.57、ROE8.49、配当利回り1.10、自己資本比率77.71、営業利益率2.73 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
9986	蔵王産業	未保有	対象外	2448	対象外	17.70	1.02	5.74	4.08	85.95	11.60	卸売業	📈【B】 高配当・財務安全性強いがROE低め。 【ファンダメンタル確認値】現在値2448、PER17.70、PBR1.02、ROE5.74、配当利回り4.08、自己資本比率85.95、営業利益率11.60 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
9989	サンドラッグ	未保有	対象外	3807	対象外	13.85	1.56	11.24	3.47	60.15	5.56	小売業	📈【A】 収益性・配当・財務バランス良好。 【ファンダメンタル確認値】現在値3807、PER13.85、PBR1.56、ROE11.24、配当利回り3.47、自己資本比率60.15、営業利益率5.56 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
